,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
0,1174222393432136530,https://www.airbnb.com/rooms/1174222393432136530,20241109184856,2024-11-09,city scrape,The Impérial Suite + Parking + AC,"Located in the heart of the action on rue Saint-Joseph, the windows face calmly onto the small rue Notre-Dame-des-Anges.<br /><br />Close to Old Quebec and major tourist sites: The Imperial Bell, Château Frontenac, Plaines D’Abraham, Rue St-Jean, Petit-Champlain and more!",,https://a0.muscache.com/pictures/miso/Hosting-1174222393432136530/original/e8dcfe1f-a8bf-4878-952e-f788bcf4b908.jpeg,236784947,https://www.airbnb.com/users/show/236784947,Johan,2019-01-15,"Quebec City, Canada",,within an hour,100%,99%,t,https://a0.muscache.com/im/pictures/user/8004c2c0-3879-47aa-9b21-7a195149bce6.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/8004c2c0-3879-47aa-9b21-7a195149bce6.jpg?aki_policy=profile_x_medium,,12,22,"['email', 'phone']",t,t,,Saint-Roch,,46.81246320616359,-71.22575474019776,Entire rental unit,Entire home/apt,6,1.0,1 bath,2.0,3.0,"[""Exterior security cameras on property"", ""Extra pillows and blankets"", ""Freezer"", ""Smart lock"", ""Free residential garage on premises"", ""Fire extinguisher"", ""Hot water kettle"", ""Oven"", ""Smoke alarm"", ""Self check-in"", ""Clothing storage"", ""Bathtub"", ""Body soap"", ""Paid washer \u2013 In building"", ""Heating"", ""Wine glasses"", ""Toaster"", ""Coffee"", ""Bed linens"", ""Dishes and silverware"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Baking sheet"", ""Iron"", ""Refrigerator"", ""Pets allowed"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Hair dryer"", ""Stove"", ""TV"", ""Microwave"", ""Dishwasher"", ""Coffee maker"", ""Trash compactor"", ""Dining table"", ""Noise decibel monitors on property"", ""Cooking basics"", ""Kitchen"", ""Wifi"", ""Shampoo""]",$138.00,2,365,1,99,300,365,3.1,318.4,,t,20,46,76,107,2024-11-09,37,37,7,2024-06-21,2024-11-02,4.95,4.95,4.95,4.97,5.0,4.7,4.81,"302317, expires: 2025-06-16T17:41:09Z",f,10,10,0,0,7.82
14,21410127,https://www.airbnb.com/rooms/21410127,20241109184856,2024-11-09,previous scrape,Les Immeubles Charlevoix - 760416 - CITQ 279646,"900 sq. ft. modern condo with a refined decor, furnished with style and comfort. Spacious balcony (17' x 7') offering the tranquillity of the interior courtyard and a BBQ to enjoy outdoor meals. Large windows and balcony looking onto the Saint-Jean-Baptiste area. Located on the fourth floor of a brand new building, a few steps from Old Quebec.","Boutiques, restaurants, artisanal bakeries, gourmet food stores and liquor store (SAQ) <br />Tourist activities, Summer Music Festival, Quebec Winter Carnival <br />Old Quebec <br />Plains of Abraham <br />Grande-Allée nightlife <br />Concert halls (Le Capitole, Palais Montcalm, Grand Théâtre de Québec) <br />Quebec Convention Centre <br />Parliament and government buildings",https://a0.muscache.com/pictures/0dfd9adb-ad34-442d-abb0-d1c1334eeb0e.jpg,34462857,https://www.airbnb.com/users/show/34462857,Les Immeubles Charlevoix Courtier,2015-05-28,"Baie-Saint-Paul, Canada",,within an hour,96%,99%,t,https://a0.muscache.com/im/pictures/user/8571f86e-1640-48c5-bf7e-eb9407c8edd6.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/8571f86e-1640-48c5-bf7e-eb9407c8edd6.jpg?aki_policy=profile_x_medium,,73,108,"['email', 'phone']",t,t,Neighborhood highlights,Saint-Jean-Baptiste,,46.81230164,-71.2161026,Entire rental unit,Entire home/apt,6,,1 bath,2.0,,"[""Building staff"", ""Patio or balcony"", ""Fire extinguisher"", ""Gym"", ""Oven"", ""Dryer"", ""Essentials"", ""Smoke alarm"", ""Self check-in"", ""Heating"", ""Bed linens"", ""Long term stays allowed"", ""Dishes and silverware"", ""Hot water"", ""Luggage dropoff allowed"", ""TV with standard cable"", ""Hangers"", ""BBQ grill"", ""Refrigerator"", ""Iron"", ""Air conditioning"", ""Hair dryer"", ""Stove"", ""Paid parking on premises"", ""Washer"", ""Microwave"", ""Dishwasher"", ""Coffee maker"", ""Cooking basics"", ""Kitchen"", ""Wifi"", ""Shampoo""]",,2,1125,2,2,1125,1125,2.0,1125.0,,t,24,43,70,332,2024-11-09,51,23,1,2018-08-09,2024-10-29,4.86,4.92,4.9,4.9,4.84,5.0,4.73,"279646, expires: 2024-12-31",t,64,49,0,0,0.67
26,48264496,https://www.airbnb.com/rooms/48264496,20241109184856,2024-11-09,city scrape,"FamilyHouse, QuebecCity, SPA, PoolTable, 4 bedroom","Welcome to our warm house in downtown Quebec, near the Plains of Abraham and 5 minutes walk from the Parc des Bois de Coulonges Quebec.<br />Close to several grocery stores, it can accommodate 11 peoples with 4 bedrooms and a bunk bed. You will have at your disposal a pool table, a fireplace, a spa and a city garden to meditate there. Well located, you will have access to all summer activities in less than 15 minutes on foot, by bus or by car.",The district is known for its large houses and its proximity to the city center. Your neighbors are quiet families with children. The neighborhood is very quiet without ever having any problems.,https://a0.muscache.com/pictures/miso/Hosting-48264496/original/c0583081-658b-42e3-b40f-09edbff8a65a.jpeg,389480701,https://www.airbnb.com/users/show/389480701,Olivier,2021-02-21,"Québec City, Canada","Jeune entrepreneur très dynamique et amoureux des gens 

Mon animal totem est le lion souriant",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/9d939f7f-8114-441d-b3fd-b9c8787e9854.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/9d939f7f-8114-441d-b3fd-b9c8787e9854.jpg?aki_policy=profile_x_medium,Sillery,1,1,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Saint-Sacrement,,46.79042,-71.2511,Entire home,Entire home/apt,11,2.5,2.5 baths,4.0,6.0,"[""Free street parking"", ""Free dryer \u2013 In unit"", ""Pack \u2019n play/Travel crib"", ""Children\u2019s books and toys"", ""Smoke alarm"", ""Fire pit"", ""Heating"", ""Toaster"", ""Books and reading material"", ""Long term stays allowed"", ""First aid kit"", ""Free parking on premises"", ""Hot water"", ""Luggage dropoff allowed"", ""Mosquito net"", ""Refrigerator"", ""Outdoor furniture"", ""Bidet"", ""Hair dryer"", ""Lockbox"", ""Central air conditioning"", ""Shower gel"", ""Dining table"", ""Children's playroom"", ""Private backyard \u2013 Not fully fenced"", ""Pool table"", ""Conditioner"", ""Extra pillows and blankets"", ""Private entrance"", ""Hot water kettle"", ""Blender"", ""Essentials"", ""Cleaning available during stay"", ""Barbecue utensils"", ""Bathtub"", ""Ceiling fan"", ""Wine glasses"", ""Outdoor dining area"", ""Crib"", ""Baking sheet"", ""Iron"", ""Private hot tub - available all year, open 24 hours"", ""Coffee maker"", ""Sun loungers"", ""LG stainless steel electric stove"", ""Ping pong table"", ""Courtyard view"", ""Baby safety gates"", ""Body soap"", ""Coffee"", ""Bed linens"", ""Private patio or balcony"", ""Hangers"", ""BBQ grill"", ""Dedicated workspace"", ""Children\u2019s dinnerware"", ""Indoor fireplace: wood-burning"", ""Drying rack for clothing"", ""Cleaning products"", ""Cooking basics"", ""Kitchen"", ""Wifi"", ""Ethernet connection"", ""Hammock"", ""50 inch HDTV with Amazon Prime Video"", ""Board games"", ""Freezer"", ""Fire extinguisher"", ""Oven"", ""Self check-in"", ""Clothing storage"", ""Dishes and silverware"", ""Free washer \u2013 In unit"", ""Room-darkening shades"", ""Carbon monoxide alarm"", ""Microwave"", ""Dishwasher"", ""Resort access"", ""Shampoo""]",$261.00,31,1125,2,31,1125,1125,19.9,1125.0,,t,12,29,59,105,2024-11-09,197,65,7,2021-06-11,2024-10-30,4.84,4.89,4.74,4.91,4.94,4.9,4.73,"304832, expires: 2025-02-07",t,1,1,0,0,4.74
27,52316871,https://www.airbnb.com/rooms/52316871,20241109184856,2024-11-09,city scrape,Magnifique logement centre ville près de tout!,A superb condo downtown close to all services and entertainment. Impeccable cleanliness and a unique style that will charm you. For an unforgettable stay in beautiful Quebec City!,,https://a0.muscache.com/pictures/miso/Hosting-52316871/original/d28ddb94-cc69-4ddb-9579-302e226fc4b4.jpeg,407098748,https://www.airbnb.com/users/show/407098748,Francis,2021-06-14,,,within an hour,96%,100%,f,https://a0.muscache.com/im/pictures/user/d6314079-070e-4e1e-a742-54d6b62a49d5.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d6314079-070e-4e1e-a742-54d6b62a49d5.jpg?aki_policy=profile_x_medium,,2,2,['phone'],t,t,,Saint-Sauveur,,46.80672,-71.24474,Entire condo,Entire home/apt,5,1.0,1 bath,2.0,3.0,"[""Central heating"", ""Fire extinguisher"", ""Private entrance"", ""Washer"", ""TV"", ""Dishes and silverware"", ""Free parking on premises"", ""Hot water"", ""Microwave"", ""Smoke alarm"", ""Stainless steel oven"", ""Resort access"", ""Kitchen"", ""Wifi"", ""Dedicated workspace""]",$86.00,31,365,31,31,1125,1125,31.0,1125.0,,t,23,44,74,335,2024-11-09,236,54,2,2021-09-30,2024-10-16,4.62,4.75,4.83,4.79,4.34,4.42,4.53,"316387, expires: 2024-11-06",t,2,2,0,0,6.23
38,842676552263187870,https://www.airbnb.com/rooms/842676552263187870,20241109184856,2024-11-09,city scrape,"Apt 2 ch, près Grand Théâtre","Everything is within walking distance. Live in a beautiful and large 2 bedroom apartment, full of character with its hardwood floors a little croche, old-fashioned light switches, but with new and modern furniture. You will have about 800 sq. feet (74.33 square meters) located on the 2nd floor of the building.",,https://a0.muscache.com/pictures/miso/Hosting-842676552263187870/original/42beefa1-e022-41a8-8444-e8b5d0a9d758.jpeg,6778831,https://www.airbnb.com/users/show/6778831,Éric,2013-06-06,"Thetford Mines, Canada","Thetford Mines, QC",within a day,100%,,,https://a0.muscache.com/im/users/6778831/profile_pic/1370562156/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/6778831/profile_pic/1370562156/original.jpg?aki_policy=profile_x_medium,,75,89,"['email', 'phone']",t,t,,Vieux-Québec/Cap-Blanc/Colline parlementaire,,46.80604,-71.22035,Entire rental unit,Entire home/apt,6,1.0,1 bath,2.0,2.0,"[""AC - split type ductless system"", ""Heating - split type ductless system"", ""Extra pillows and blankets"", ""Free dryer \u2013 In unit"", ""Freezer"", ""Autre stainless steel single oven"", ""Private entrance"", ""Hot water kettle"", ""Single level home"", ""Essentials"", ""Coffee maker: drip coffee maker"", ""Smoke alarm"", ""Autre stainless steel electric stove"", ""Bathtub"", ""Wine glasses"", ""Toaster"", ""Bed linens"", ""Long term stays allowed"", ""Dishes and silverware"", ""Free parking on premises"", ""Outdoor dining area"", ""Hot water"", ""Luggage dropoff allowed"", ""Mosquito net"", ""Hangers"", ""Baking sheet"", ""Iron"", ""Pets allowed"", ""Outdoor furniture"", ""Room-darkening shades"", ""Dedicated workspace"", ""Autre refrigerator"", ""Hair dryer"", ""Washer"", ""TV"", ""Paid parking garage off premises"", ""Shared patio or balcony"", ""Microwave"", ""Dishwasher"", ""Dining table"", ""Cleaning products"", ""Cooking basics"", ""Kitchen"", ""Wifi"", ""Clothing storage: closet, wardrobe, and dresser""]",$99.00,31,365,31,31,365,365,31.0,365.0,,t,0,17,47,322,2024-11-09,0,0,0,,,,,,,,,,,t,6,6,0,0,
40,847074114201094339,https://www.airbnb.com/rooms/847074114201094339,20241109184856,2024-11-09,city scrape,The Citadel | 2 Parking | Pool & BBQ | Office & AC,Come and enjoy an unforgettable stay in the heart of the Saint-Roch district in Quebec City. These two modern and luxurious condos will charm you as much by their common spaces as by their interior design. <br /><br /><br />✧️ 2 parking space provided<br />✧️ Roof terrace with pool & outdoor fireplace<br />✧️ BBQ and dining area  <br />✧️ Fitness room <br />✧️ Bright and pleasant apartment <br />✧️ Fast wifi and work space <br />✧️ Just a 15 minute walk to Old Quebec,"Saint-Roch is a trendy neighborhood with many small restaurants, cafes and lively bars. It is also home to boutiques selling clothing, home goods and toys along St. Joseph Street. Concert halls, theaters and contemporary art galleries dot the area. The Jean-Paul-L'Allier Garden features an artificial waterfall, and the huge Saint-Roch Church is nearby.<br /><br /><br />↣ Chute de Montmorency only 13 minutes away <br />↣ Wendake reserve and its forest hikes only 20 minutes away <br />↣ Old Quebec and its cobblestone streets at 15 minutes by foot or 5 minutes by car<br />↣ The famous Christmas Boutique of Quebec City at only 15 minutes walking distance <br />↣ The Citadel of Quebec City 6 minutes away by car",https://a0.muscache.com/pictures/miso/Hosting-847074114201094339/original/ff10c351-964b-4892-8d30-6df8d53d0396.jpeg,43299704,https://www.airbnb.com/users/show/43299704,Michel,2015-09-03,"Québec City, Canada",votre satisfaction ma reconnaissance,within an hour,100%,99%,t,https://a0.muscache.com/im/users/43299704/profile_pic/1441640680/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/43299704/profile_pic/1441640680/original.jpg?aki_policy=profile_x_medium,,9,14,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Saint-Roch,,46.81471,-71.21906,Entire rental unit,Entire home/apt,10,2.0,2 baths,3.0,5.0,"[""AC - split type ductless system"", ""Crib - always at the listing"", ""Extra pillows and blankets"", ""Elevator"", ""Freezer"", ""Patio or balcony"", ""Fire extinguisher"", ""Hot water kettle"", ""Gym"", ""Dryer"", ""Essentials"", ""Smoke alarm"", ""Barbecue utensils"", ""Self check-in"", ""Clothing storage"", ""Fire pit"", ""Heating"", ""Wine glasses"", ""Toaster"", ""Coffee"", ""Bed linens"", ""Pool"", ""Dishes and silverware"", ""First aid kit"", ""High chair - always at the listing"", ""Outdoor dining area"", ""Hot water"", ""Mosquito net"", ""Hangers"", ""BBQ grill"", ""Iron"", ""Refrigerator"", ""Outdoor furniture"", ""Room-darkening shades"", ""Dedicated workspace"", ""Keypad"", ""Hair dryer"", ""Stove"", ""Coffee maker: Nespresso"", ""Washer"", ""TV"", ""Microwave"", ""Dishwasher"", ""Sun loungers"", ""Shower gel"", ""Dining table"", ""Free parking garage on premises \u2013 2 spaces"", ""Cooking basics"", ""Kitchen"", ""Wifi"", ""Shampoo""]",$316.00,31,365,2,3,1125,1125,2.5,1125.0,,t,11,39,69,167,2024-11-09,11,9,0,2023-05-30,2024-09-27,5.0,4.91,5.0,5.0,5.0,4.73,4.73,"310483, expires: 2025-08-31",f,8,8,0,0,0.62
44,1004330545478120321,https://www.airbnb.com/rooms/1004330545478120321,20241109184856,2024-11-09,city scrape,"Art, design & confort. Maison neuve 4 chambres","Avoid city traffic by opting for this bright home, located in a new and peaceful family neighborhood, just 11 km from Old Quebec! Built in 2023, the house Lilas Paulina offers a unique concept that perfectly unites art, design and comfort. With its ecclesiastical style and impressive collection of authentic books and works, this residence has much more than just beds to offer. Welcome to filming!<br />Plan/Design/Deco ©Brigitte Thériault","The house is located in a very quiet and new area on the outskirts of Quebec City, only 15 minutes from downtown. You have a 5-minute walk to a gas station, pharmacy, convenience store and also a city bus stop.",https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTAwNDMzMDU0NTQ3ODEyMDMyMQ%3D%3D/original/f98eecbc-e825-4aaf-b14d-72b5b6a14901.jpeg,542276812,https://www.airbnb.com/users/show/542276812,Edouard,2023-10-17,,,within an hour,100%,100%,t,https://a0.muscache.com/defaults/user_pic-50x50.png?v=3,https://a0.muscache.com/defaults/user_pic-225x225.png?v=3,,1,1,"['email', 'phone']",f,t,Neighborhood highlights,Quartier 4-3,,46.8810647,-71.2466061,Entire cottage,Entire home/apt,8,2.5,2.5 baths,4.0,4.0,"[""Radiant heating"", ""A shampoo"", ""Extra pillows and blankets"", ""Free street parking"", ""Board games"", ""Freezer"", ""Smart lock"", ""Cooking basics"", ""Fire extinguisher"", ""Blender"", ""Children\u2019s books and toys for ages 2-5 years old, 5-10 years old, and 10+ years old"", ""Oven"", ""Essentials"", ""Free driveway parking on premises \u2013 2 spaces"", ""Paid dryer \u2013 In unit"", ""50 inch HDTV"", ""Portable fans"", ""Coffee maker: drip coffee maker"", ""Smoke alarm"", ""Self check-in"", ""Bathtub"", ""Body soap"", ""Wine glasses"", ""Toaster"", ""Private backyard"", ""Coffee"", ""City skyline view"", ""Bed linens"", ""Books and reading material"", ""First aid kit"", ""Dishes and silverware"", ""Piano"", ""Hot water"", ""Outdoor dining area"", ""Luggage dropoff allowed"", ""Private patio or balcony"", ""Mosquito net"", ""Hangers"", ""Garden view"", ""BBQ grill"", ""Iron"", ""Refrigerator"", ""LG electric stove"", ""Outdoor furniture"", ""Room-darkening shades"", ""Dedicated workspace"", ""A conditioner"", ""A sound system"", ""Hair dryer"", ""Washer"", ""Long term stays allowed"", ""Microwave"", ""Dishwasher"", ""Shower gel"", ""Dining table"", ""Cleaning products"", ""Clothing storage: walk-in closet, closet, wardrobe, and dresser"", ""Kitchen"", ""Wifi""]",$303.00,2,30,2,2,1125,1125,2.0,1125.0,,t,0,1,1,118,2024-11-09,24,24,0,2023-11-25,2024-08-31,4.92,4.96,4.92,5.0,4.79,4.92,4.75,"316481, expires: 2024-11-09T14:07:05Z",f,1,1,0,0,2.05
49,37830452,https://www.airbnb.com/rooms/37830452,20241109184856,2024-11-09,city scrape,Private house in downtown quebec city (PARKING) #6,"This private house is located in the heart of the Nouvo St-Roch district. Completely renovated, with parking 2 minutes walk. 15 minutes walk from Old Quebec, the Plains of Abraham, museums and Petit Champlain. <br /><br />| English |<br />Great location in downtown Quebec city (Nouvo St-Roch), fully renovated with a private parking at a 2 minutes walking distance. 15 minutes walking distance from Old Quebec, Plains of Abraham, museums and the Petit Champlain.","The house is located in the heart of the St-Roch district! A multitude of restaurants, cafes, bars and shops are just a few minutes' walk away!<br /><br />This private house is located in the heart of Saint-Roch neighborhood! Multiple restaurants, bars, cafes and shops are within a walking distance!",https://a0.muscache.com/pictures/miso/Hosting-37830452/original/c92221c6-67a3-44ed-a4e8-03d4caae5351.jpeg,128675645,https://www.airbnb.com/users/show/128675645,Coralie Et Mélina,2017-05-03,"Quebec City, Canada","Nos appartements sont situés en plein coeur du quartier St-Roch, avec une panoplies de restos, cafés et magasins à proximité. Entièrement rénovés, avec stationnement à 2 minutes à pieds. À distance de marche du Vieux-Québec, des plaines d'Abraham, des musées et du Petit Champlain.",within an hour,98%,100%,t,https://a0.muscache.com/im/pictures/user/64251b1e-c1fe-42a8-b9f3-c445b2e67412.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/64251b1e-c1fe-42a8-b9f3-c445b2e67412.jpg?aki_policy=profile_x_medium,,8,8,"['email', 'phone']",t,t,Neighborhood highlights,Saint-Roch,,46.81187,-71.22887,Entire rental unit,Entire home/apt,6,1.0,1 bath,1.0,3.0,"[""Exterior security cameras on property"", ""Private entrance"", ""Oven"", ""Dryer"", ""Essentials"", ""Smoke alarm"", ""Self check-in"", ""Body soap"", ""Heating"", ""Dishes and silverware"", ""First aid kit"", ""Free parking on premises"", ""Hot water"", ""Hangers"", ""Refrigerator"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Keypad"", ""Hair dryer"", ""Stove"", ""Washer"", ""TV"", ""Microwave"", ""Dishwasher"", ""Coffee maker"", ""Shower gel"", ""Cooking basics"", ""Kitchen"", ""Wifi"", ""Shampoo""]",$149.00,2,30,2,2,30,30,2.0,30.0,,t,30,57,87,362,2024-11-09,241,42,3,2019-08-19,2024-10-18,4.87,4.87,4.9,4.91,4.93,4.59,4.77,"299334, expires: 2025-06-30",t,8,8,0,0,3.79
51,39310780,https://www.airbnb.com/rooms/39310780,20241109184856,2024-11-09,city scrape,100% private home . reservation 32 jours et plus.,Beautiful house in great area. NEAR CENTRE DES CONGRES AND PLACE QUEBEC 3 floors... 4 BR . For the last floor 3 BR and 1 full bathroom with nice shower and 1 bath. For the main floor you have 1 living space tv with netflix. Full kitchen. In the basement you have 1 open room with 1 double bed and we also have 1 matress extra and 1 baby crib if you need it. There another bathroom in the basement with washer and dryer.,,https://a0.muscache.com/pictures/af355a91-e3af-4416-843a-f37aaa48a6bd.jpg,301816102,https://www.airbnb.com/users/show/301816102,Olivier,2019-10-12,,,,,,f,https://a0.muscache.com/im/pictures/user/d4f7ed13-0951-4342-b5f5-f82eae219706.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d4f7ed13-0951-4342-b5f5-f82eae219706.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,,Saint-Jean-Baptiste,,46.81112,-71.21958,Entire home,Entire home/apt,9,1.5,1.5 baths,4.0,4.0,"[""Private entrance"", ""Heating"", ""Hair dryer"", ""Dryer"", ""Washer"", ""Essentials"", ""Hot water"", ""Smoke alarm"", ""Iron"", ""Kitchen"", ""Wifi"", ""Air conditioning""]",$688.00,32,1125,32,32,1125,1125,32.0,1125.0,,t,29,59,89,89,2024-11-09,3,0,0,2020-01-20,2020-02-24,5.0,3.0,5.0,5.0,5.0,5.0,4.67,,f,1,1,0,0,0.05
56,44460874,https://www.airbnb.com/rooms/44460874,20241109184856,2024-11-09,city scrape,Le 323,Property number: 302187<br />Owner number: 729001,,https://a0.muscache.com/pictures/miso/Hosting-44460874/original/dfa24800-7a13-4d43-baef-0a2c962312a6.jpeg,32229702,https://www.airbnb.com/users/show/32229702,Frédérick,2015-04-29,"Québec, Canada",,within an hour,100%,98%,f,https://a0.muscache.com/im/pictures/user/26c0cee1-c229-4342-8c49-e325ded4c71d.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/26c0cee1-c229-4342-8c49-e325ded4c71d.jpg?aki_policy=profile_x_medium,,26,26,"['email', 'phone']",t,t,,Vieux-Limoilou,,46.82526,-71.22693,Entire condo,Entire home/apt,6,1.0,1 bath,3.0,3.0,"[""High chair"", ""Freezer"", ""Smart lock"", ""Other stove"", ""Fire extinguisher"", ""Private entrance"", ""Patio or balcony"", ""Oven"", ""Dryer"", ""Essentials"", ""Smoke alarm"", ""Self check-in"", ""Clothing storage"", ""Bathtub"", ""Heating"", ""Wine glasses"", ""Toaster"", ""Coffee"", ""Bed linens"", ""Dishes and silverware"", ""First aid kit"", ""Outdoor dining area"", ""Free parking on premises"", ""Hot water"", ""Luggage dropoff allowed"", ""Mosquito net"", ""Hangers"", ""Baking sheet"", ""Refrigerator"", ""Outdoor furniture"", ""Air conditioning"", ""Room-darkening shades"", ""Hair dryer"", ""Washer"", ""TV"", ""Microwave"", ""Dishwasher"", ""Dining table"", ""Cleaning products"", ""Cooking basics"", ""Kitchen"", ""Wifi""]",$207.00,31,1125,1,2,1125,1125,2.0,1125.0,,t,23,42,66,337,2024-11-09,126,27,1,2020-12-02,2024-10-13,4.82,4.9,4.84,4.88,4.72,4.88,4.71,"302187, expires: 2024-11-30",t,26,4,22,0,2.63
