,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
7,4962994,https://www.airbnb.com/rooms/4962994,20241109184856,2024-11-09,previous scrape,Le logis de Charlotte,"Charlotte's home is a concept of historic, unique, family home and ideal in the heart of Old Quebec for a short stay. We are a family with young children who live in a large historic house behind the famous Castle Frontenac. On the ground floor, the house has a spacious unit called Charlotte's House, in tribute to the first owner occupier of the house. Our listing is legal! Certificate of Establishment Tourisme Québec #303132.","We are located in the heart of Old Quebec, behind the Château Frontenac and with a view of the St. Lawrence River. The quadrilateral around our house is particularly quiet for Old Quebec. Families and local residents live all around the house.",https://a0.muscache.com/pictures/miso/Hosting-4962994/original/b9c82480-f3e0-43f0-8930-96e6f38c1495.jpeg,25584124,https://www.airbnb.com/users/show/25584124,Farrah,2015-01-04,"Quebec City, Canada","Nous sommes une famille de quatre (Nico, Farrah, BBB et Momo).",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/40d4985c-c926-458f-a385-7a55d0e5e0da.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/40d4985c-c926-458f-a385-7a55d0e5e0da.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Vieux-Québec/Cap-Blanc/Colline parlementaire,,46.80956,-71.2063,Entire guest suite,Entire home/apt,4,,1 bath,1.0,,"[""Clothing storage: dresser"", ""High chair"", ""Central heating"", ""Building staff"", ""Children's playroom"", ""Exterior security cameras on property"", ""Courtyard view"", ""River view"", ""55 inch HDTV with Amazon Prime Video, Apple TV, Disney+, Netflix"", ""Park view"", ""Extra pillows and blankets"", ""Board games"", ""Freezer"", ""Pack \u2019n play/Travel crib"", ""Single level home"", ""Hot water kettle"", ""Private backyard \u2013 Fully fenced"", ""Essentials"", ""Smoke alarm"", ""Laundromat nearby"", ""Babysitter recommendations"", ""Outlet covers"", ""Self check-in"", ""Body soap"", ""Wine glasses"", ""Coffee"", ""City skyline view"", ""Bed linens"", ""Books and reading material"", ""First aid kit"", ""Dishes and silverware"", ""Hot water"", ""Iron"", ""Room-darkening shades"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Children\u2019s dinnerware"", ""Mini fridge"", ""Hair dryer"", ""Coffee maker: Nespresso"", ""Indoor fireplace"", ""Central air conditioning"", ""Cleaning products"", ""Children\u2019s books and toys for ages 0-2 years old and 2-5 years old"", ""Wifi""]",,2,6,2,2,1125,1125,2.0,1125.0,,t,0,0,0,0,2024-11-09,82,19,1,2021-07-29,2024-10-20,4.94,4.93,4.95,4.95,4.98,4.99,4.78,"303132, expires: 2025-09-30",t,1,1,0,0,2.05
10,15536331,https://www.airbnb.com/rooms/15536331,20241109184856,2024-11-09,city scrape,Comfy loft Downtown Quebec City,"Visit Quebec City and stay in a Chic Loft in one of the city's hippest neighborhoods. Walking access to Old Quebec, the Plains and museums .<br />Visit Quebec and stay in a Chic and trendy loft. Perfectly situated downtown Quebec, you can walk major touristic attractions.","The St-Roch district has experienced a bubbling dynamism over the past decade. A working-class and industrial district of the early 20th century, it has now become a dynamic centre for technological and cultural enterprises such as Beenox and Ubisoft. It attracts artists and young people who want to live a relaxed urban lifestyle. We find everything to satisfy the bobos of this world: barista cafe, trendy restaurants, shops of all kinds.<br />You can walk to the city's tourist areas such as Old Quebec and the Plains of Abraham.",https://a0.muscache.com/pictures/8a2253b2-309f-4b2b-b9a7-16155d7a99c3.jpg,99944561,https://www.airbnb.com/users/show/99944561,Pelletier,2016-10-16,"Québec, Canada",,within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/dae98522-53cb-4ce4-a24c-94397375133d.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/dae98522-53cb-4ce4-a24c-94397375133d.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone']",t,t,Neighborhood highlights,Saint-Roch,,46.81287,-71.22469,Entire serviced apartment,Entire home/apt,2,1.0,1 bath,0.0,1.0,"[""Elevator"", ""Fire extinguisher"", ""Oven"", ""Dryer"", ""Essentials"", ""Smoke alarm"", ""Self check-in"", ""Heating"", ""Dishes and silverware"", ""Hot water"", ""TV with standard cable"", ""Hangers"", ""Refrigerator"", ""Iron"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Dedicated workspace"", ""Hair dryer"", ""Stove"", ""Washer"", ""Lockbox"", ""Microwave"", ""Coffee maker"", ""Cooking basics"", ""Kitchen"", ""Wifi""]",$87.00,1,365,1,1,365,365,1.0,365.0,,t,14,35,65,332,2024-11-09,721,68,5,2016-11-12,2024-10-26,4.74,4.84,4.75,4.88,4.81,4.7,4.67,"296434, expires: 2025-07-01T00:00:00Z",t,2,2,0,0,7.41
14,21410127,https://www.airbnb.com/rooms/21410127,20241109184856,2024-11-09,previous scrape,Les Immeubles Charlevoix - 760416 - CITQ 279646,"900 sq. ft. modern condo with a refined decor, furnished with style and comfort. Spacious balcony (17' x 7') offering the tranquillity of the interior courtyard and a BBQ to enjoy outdoor meals. Large windows and balcony looking onto the Saint-Jean-Baptiste area. Located on the fourth floor of a brand new building, a few steps from Old Quebec.","Boutiques, restaurants, artisanal bakeries, gourmet food stores and liquor store (SAQ) <br />Tourist activities, Summer Music Festival, Quebec Winter Carnival <br />Old Quebec <br />Plains of Abraham <br />Grande-Allée nightlife <br />Concert halls (Le Capitole, Palais Montcalm, Grand Théâtre de Québec) <br />Quebec Convention Centre <br />Parliament and government buildings",https://a0.muscache.com/pictures/0dfd9adb-ad34-442d-abb0-d1c1334eeb0e.jpg,34462857,https://www.airbnb.com/users/show/34462857,Les Immeubles Charlevoix Courtier,2015-05-28,"Baie-Saint-Paul, Canada",,within an hour,96%,99%,t,https://a0.muscache.com/im/pictures/user/8571f86e-1640-48c5-bf7e-eb9407c8edd6.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/8571f86e-1640-48c5-bf7e-eb9407c8edd6.jpg?aki_policy=profile_x_medium,,73,108,"['email', 'phone']",t,t,Neighborhood highlights,Saint-Jean-Baptiste,,46.81230164,-71.2161026,Entire rental unit,Entire home/apt,6,,1 bath,2.0,,"[""Building staff"", ""Patio or balcony"", ""Fire extinguisher"", ""Gym"", ""Oven"", ""Dryer"", ""Essentials"", ""Smoke alarm"", ""Self check-in"", ""Heating"", ""Bed linens"", ""Long term stays allowed"", ""Dishes and silverware"", ""Hot water"", ""Luggage dropoff allowed"", ""TV with standard cable"", ""Hangers"", ""BBQ grill"", ""Refrigerator"", ""Iron"", ""Air conditioning"", ""Hair dryer"", ""Stove"", ""Paid parking on premises"", ""Washer"", ""Microwave"", ""Dishwasher"", ""Coffee maker"", ""Cooking basics"", ""Kitchen"", ""Wifi"", ""Shampoo""]",,2,1125,2,2,1125,1125,2.0,1125.0,,t,24,43,70,332,2024-11-09,51,23,1,2018-08-09,2024-10-29,4.86,4.92,4.9,4.9,4.84,5.0,4.73,"279646, expires: 2024-12-31",t,64,49,0,0,0.67
15,899263929143707680,https://www.airbnb.com/rooms/899263929143707680,20241109184856,2024-11-09,city scrape,Lofts de la Barricade | Par Lofts Vieux-Qc | BA302,"Les Lofts de la Barricade are located in a heritage building that was entirely renovated in 2023. Nevertheless, its historical value has been cautiously preserved, so you can enjoy our modern apartments while admiring their bare brick walls, beams and abundant fenestration that contribute to the charm of this place. Our rooftop terrace boasts unique views on the Saint-Lawrence River, Old Port and the famous Château Frontenac.","The Quartier Petit Champlain is known as one of the most beautiful site of North America. Located at the bottom of the cliff under the Château Frontenac, this authentic area is a “must see” when visiting Quebec. Petit-Champlain street, is one of the oldest commercial street in North America. Particularly magical during winter, illuminated by thousands of lights, the pedestrian streets offer a variety of interesting shops and restaurants in a romantic setting in every season. Furthermore, for the music, humor and theater lovers, you can also enjoy a show in the historical Theater Petit Champlain.",https://a0.muscache.com/pictures/miso/Hosting-899263929143707680/original/e5a5afc2-6e61-4fd7-b2d4-29d38d3a3929.jpeg,516504001,https://www.airbnb.com/users/show/516504001,Barricade,2023-05-25,,,within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/User-516504001/original/cc8cacc8-581a-42b1-888e-e4910c280719.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-516504001/original/cc8cacc8-581a-42b1-888e-e4910c280719.jpeg?aki_policy=profile_x_medium,,22,22,"['email', 'phone']",t,t,Neighborhood highlights,Vieux-Québec/Cap-Blanc/Colline parlementaire,,46.815805,-71.20272589999999,Entire serviced apartment,Entire home/apt,4,1.0,1 bath,2.0,2.0,"[""Central heating"", ""Elevator"", ""Freezer"", ""Fire extinguisher"", ""Hot water kettle"", ""Paid dryer \u2013 In building"", ""Single level home"", ""Essentials"", ""Coffee maker: drip coffee maker"", ""Smoke alarm"", ""Stainless steel oven"", ""Self check-in"", ""Clothing storage"", ""Paid washer \u2013 In building"", ""Wine glasses"", ""Toaster"", ""Bed linens"", ""Paid parking lot off premises"", ""Dishes and silverware"", ""First aid kit"", ""Hot water"", ""Iron"", ""Refrigerator"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Room-darkening shades"", ""Pack \u2019n play/Travel crib - available upon request"", ""Keypad"", ""Hair dryer"", ""TV"", ""Shared patio or balcony"", ""Microwave"", ""Dishwasher"", ""Booster seat high chair - available upon request"", ""Dining table"", ""Kitchen"", ""Wifi"", ""Shampoo"", ""Electric stove""]",$223.00,31,365,1,1,365,365,1.0,365.0,,t,14,28,58,333,2024-11-09,3,3,0,2024-02-11,2024-06-14,5.0,5.0,5.0,5.0,5.0,5.0,4.33,"314475, expires: 2025-07-10",t,22,22,0,0,0.33
17,41563977,https://www.airbnb.com/rooms/41563977,20241109184856,2024-11-09,city scrape,Chic loft in the city center!,"A chic loft, located in the heart of downtown Quebec! A few steps from Old Quebec, from all the events and places not to be missed, you will be charmed to live like a local and to be so well located. Restaurants, local shops, delicatessens and cafes where you can hang out and feel the excitement of the city! A daily walk will quickly become an epic to the most popular attractions! All this without ever using your car!","10 minutes walk from all the essentials, including Old Quebec, you will be charmed by the proximity of everything and the impression of living like a local. Located in the heart of downtown Quebec, your loft awaits you for a city and trendy travel experience. This sector of the city is one of the most dynamic in Quebec. Restaurants, shops, delicatessens and nightlife, you are within walking distance of absolutely everything.<br />The St-Roch district is one of the old districts of Quebec, a few minutes from the Gare du Palais train station, the Old Port and the Petit Champlain district, you will live in an absolutely magical setting. Quiet accommodation, at the heart of Quebec's active life!",https://a0.muscache.com/pictures/8686c40e-9420-4171-90a7-7f68c74d49b7.jpg,376275905,https://www.airbnb.com/users/show/376275905,Gdp,2020-11-19,"Quebec City, Canada","GDP Inc. est un gestionnaire de propriétés. Nous nous occupons des communications et de la gestions de différentes propriétés en location court et long terme.

GDP Inc. is a property manager. We take care of communications and are managing short and long therm rental.",,,,f,https://a0.muscache.com/im/pictures/user/998a258f-7549-49f1-b19a-cccc6d12ad8b.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/998a258f-7549-49f1-b19a-cccc6d12ad8b.jpg?aki_policy=profile_x_medium,,12,13,"['email', 'phone']",t,t,Neighborhood highlights,Saint-Roch,,46.81542,-71.2192,Entire loft,Entire home/apt,2,1.0,1 bath,0.0,1.0,"[""Ethernet connection"", ""Exterior security cameras on property"", ""Free street parking"", ""Fire extinguisher"", ""Single level home"", ""Dryer"", ""Essentials"", ""Smoke alarm"", ""Laundromat nearby"", ""Self check-in"", ""Heating"", ""Toaster"", ""Coffee"", ""Bed linens"", ""Long term stays allowed"", ""Dishes and silverware"", ""First aid kit"", ""Hot water"", ""Luggage dropoff allowed"", ""Hangers"", ""Iron"", ""Refrigerator"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Pack \u2019n play/Travel crib - available upon request"", ""Dedicated workspace"", ""Keypad"", ""Hair dryer"", ""Stove"", ""Washer"", ""TV"", ""Microwave"", ""Coffee maker"", ""Shower gel"", ""Cooking basics"", ""Kitchen"", ""Wifi"", ""Shampoo""]",$63.00,1,1125,1,1,1125,1125,1.0,1125.0,,t,5,17,35,196,2024-11-09,303,85,7,2020-01-30,2024-11-01,4.63,4.81,4.71,4.88,4.92,4.7,4.62,"295613, expires: 2025-01-31",t,11,11,0,0,5.21
18,41683261,https://www.airbnb.com/rooms/41683261,20241109184856,2024-11-09,city scrape,Luxury and comfort in the city center!,"Living in the city center, enjoying walking trips to live an active life, meeting the locals to create a unique trip, that's what awaits you! A few minutes walk from Old Quebec, the unmissable and all the events, you can leave with peace of mind and visit the whole city on foot! Luxurious accommodation, located in the heart of the city center, awaits you with everything you need on site. A dynamic and central street, next to the most beautiful places!","Old Quebec barely 10 minutes walk from your accommodation, you can visit Quebec in peace, at your own pace. The numerous restaurants, cafes and local shops located along St-Joseph Street will provide you with everything you need, in addition to giving you the impression of living like a local. You will be charmed by the rhythm of Quebec and will never want to leave! Delicatessens, trendy boutiques and unusual, warm and welcoming places await you, so that you can experience a trip truly connected to the real life of Quebecers.",https://a0.muscache.com/pictures/05fd7172-4a63-401f-b4b2-d8cc14681756.jpg,376275905,https://www.airbnb.com/users/show/376275905,Gdp,2020-11-19,"Quebec City, Canada","GDP Inc. est un gestionnaire de propriétés. Nous nous occupons des communications et de la gestions de différentes propriétés en location court et long terme.

GDP Inc. is a property manager. We take care of communications and are managing short and long therm rental.",,,,f,https://a0.muscache.com/im/pictures/user/998a258f-7549-49f1-b19a-cccc6d12ad8b.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/998a258f-7549-49f1-b19a-cccc6d12ad8b.jpg?aki_policy=profile_x_medium,,12,13,"['email', 'phone']",t,t,Neighborhood highlights,Saint-Roch,,46.8148,-71.22059,Entire loft,Entire home/apt,2,1.0,1 bath,0.0,1.0,"[""Exterior security cameras on property"", ""Free street parking"", ""Fire extinguisher"", ""Single level home"", ""Dryer"", ""Essentials"", ""Smoke alarm"", ""Self check-in"", ""Heating"", ""Bed linens"", ""Long term stays allowed"", ""Dishes and silverware"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Iron"", ""Refrigerator"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Pack \u2019n play/Travel crib - available upon request"", ""Dedicated workspace"", ""Keypad"", ""Hair dryer"", ""Stove"", ""Washer"", ""TV"", ""Microwave"", ""Coffee maker"", ""Shower gel"", ""Cooking basics"", ""Kitchen"", ""Wifi"", ""Shampoo""]",$63.00,1,1125,1,1,1125,1125,1.0,1125.0,,t,8,17,42,221,2024-11-09,334,78,6,2020-01-26,2024-11-01,4.63,4.73,4.63,4.91,4.86,4.64,4.58,"295613, expires: 2025-01-31",t,11,11,0,0,5.73
26,48264496,https://www.airbnb.com/rooms/48264496,20241109184856,2024-11-09,city scrape,"FamilyHouse, QuebecCity, SPA, PoolTable, 4 bedroom","Welcome to our warm house in downtown Quebec, near the Plains of Abraham and 5 minutes walk from the Parc des Bois de Coulonges Quebec.<br />Close to several grocery stores, it can accommodate 11 peoples with 4 bedrooms and a bunk bed. You will have at your disposal a pool table, a fireplace, a spa and a city garden to meditate there. Well located, you will have access to all summer activities in less than 15 minutes on foot, by bus or by car.",The district is known for its large houses and its proximity to the city center. Your neighbors are quiet families with children. The neighborhood is very quiet without ever having any problems.,https://a0.muscache.com/pictures/miso/Hosting-48264496/original/c0583081-658b-42e3-b40f-09edbff8a65a.jpeg,389480701,https://www.airbnb.com/users/show/389480701,Olivier,2021-02-21,"Québec City, Canada","Jeune entrepreneur très dynamique et amoureux des gens 

Mon animal totem est le lion souriant",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/9d939f7f-8114-441d-b3fd-b9c8787e9854.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/9d939f7f-8114-441d-b3fd-b9c8787e9854.jpg?aki_policy=profile_x_medium,Sillery,1,1,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Saint-Sacrement,,46.79042,-71.2511,Entire home,Entire home/apt,11,2.5,2.5 baths,4.0,6.0,"[""Free street parking"", ""Free dryer \u2013 In unit"", ""Pack \u2019n play/Travel crib"", ""Children\u2019s books and toys"", ""Smoke alarm"", ""Fire pit"", ""Heating"", ""Toaster"", ""Books and reading material"", ""Long term stays allowed"", ""First aid kit"", ""Free parking on premises"", ""Hot water"", ""Luggage dropoff allowed"", ""Mosquito net"", ""Refrigerator"", ""Outdoor furniture"", ""Bidet"", ""Hair dryer"", ""Lockbox"", ""Central air conditioning"", ""Shower gel"", ""Dining table"", ""Children's playroom"", ""Private backyard \u2013 Not fully fenced"", ""Pool table"", ""Conditioner"", ""Extra pillows and blankets"", ""Private entrance"", ""Hot water kettle"", ""Blender"", ""Essentials"", ""Cleaning available during stay"", ""Barbecue utensils"", ""Bathtub"", ""Ceiling fan"", ""Wine glasses"", ""Outdoor dining area"", ""Crib"", ""Baking sheet"", ""Iron"", ""Private hot tub - available all year, open 24 hours"", ""Coffee maker"", ""Sun loungers"", ""LG stainless steel electric stove"", ""Ping pong table"", ""Courtyard view"", ""Baby safety gates"", ""Body soap"", ""Coffee"", ""Bed linens"", ""Private patio or balcony"", ""Hangers"", ""BBQ grill"", ""Dedicated workspace"", ""Children\u2019s dinnerware"", ""Indoor fireplace: wood-burning"", ""Drying rack for clothing"", ""Cleaning products"", ""Cooking basics"", ""Kitchen"", ""Wifi"", ""Ethernet connection"", ""Hammock"", ""50 inch HDTV with Amazon Prime Video"", ""Board games"", ""Freezer"", ""Fire extinguisher"", ""Oven"", ""Self check-in"", ""Clothing storage"", ""Dishes and silverware"", ""Free washer \u2013 In unit"", ""Room-darkening shades"", ""Carbon monoxide alarm"", ""Microwave"", ""Dishwasher"", ""Resort access"", ""Shampoo""]",$261.00,31,1125,2,31,1125,1125,19.9,1125.0,,t,12,29,59,105,2024-11-09,197,65,7,2021-06-11,2024-10-30,4.84,4.89,4.74,4.91,4.94,4.9,4.73,"304832, expires: 2025-02-07",t,1,1,0,0,4.74
27,52316871,https://www.airbnb.com/rooms/52316871,20241109184856,2024-11-09,city scrape,Magnifique logement centre ville près de tout!,A superb condo downtown close to all services and entertainment. Impeccable cleanliness and a unique style that will charm you. For an unforgettable stay in beautiful Quebec City!,,https://a0.muscache.com/pictures/miso/Hosting-52316871/original/d28ddb94-cc69-4ddb-9579-302e226fc4b4.jpeg,407098748,https://www.airbnb.com/users/show/407098748,Francis,2021-06-14,,,within an hour,96%,100%,f,https://a0.muscache.com/im/pictures/user/d6314079-070e-4e1e-a742-54d6b62a49d5.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d6314079-070e-4e1e-a742-54d6b62a49d5.jpg?aki_policy=profile_x_medium,,2,2,['phone'],t,t,,Saint-Sauveur,,46.80672,-71.24474,Entire condo,Entire home/apt,5,1.0,1 bath,2.0,3.0,"[""Central heating"", ""Fire extinguisher"", ""Private entrance"", ""Washer"", ""TV"", ""Dishes and silverware"", ""Free parking on premises"", ""Hot water"", ""Microwave"", ""Smoke alarm"", ""Stainless steel oven"", ""Resort access"", ""Kitchen"", ""Wifi"", ""Dedicated workspace""]",$86.00,31,365,31,31,1125,1125,31.0,1125.0,,t,23,44,74,335,2024-11-09,236,54,2,2021-09-30,2024-10-16,4.62,4.75,4.83,4.79,4.34,4.42,4.53,"316387, expires: 2024-11-06",t,2,2,0,0,6.23
29,638285135657879315,https://www.airbnb.com/rooms/638285135657879315,20241109184856,2024-11-09,city scrape,Complexe Le Caïman 509 | Swimming pool + Terrace,"Designed to easily accommodate 4 people, the unit is ideal for couples on vacation, small families or professionals looking for a modern and central place to enjoy their stay in Quebec City.<br /><br />You will find all the comfort you need for a memorable stay: Full kitchen with Nespresso coffee maker, dining table, desk and Queen bed including the most comfortable 100% cotton bedding.",,https://a0.muscache.com/pictures/prohost-api/Hosting-638285135657879315/original/350df9c9-2478-4392-bc4c-8d8bad1d6988.jpeg,454092985,https://www.airbnb.com/users/show/454092985,Caïman,2022-04-13,,,within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/07c79576-2d47-4ba2-ba44-6e2bcff6e626.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/07c79576-2d47-4ba2-ba44-6e2bcff6e626.jpg?aki_policy=profile_x_medium,,20,21,"['email', 'phone']",t,t,,Saint-Roch,,46.81392,-71.22052,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Conditioner"", ""Elevator"", ""Freezer"", ""Patio or balcony"", ""Fire extinguisher"", ""Hot water kettle"", ""Private entrance"", ""Gym"", ""Single level home"", ""Oven"", ""Dryer"", ""Essentials"", ""Smoke alarm"", ""Clothing storage"", ""Body soap"", ""Heating"", ""Wine glasses"", ""Toaster"", ""Coffee"", ""Bed linens"", ""Pool"", ""Dishes and silverware"", ""First aid kit"", ""Hot water"", ""Mosquito net"", ""TV with standard cable"", ""Iron"", ""Refrigerator"", ""Outdoor furniture"", ""Air conditioning"", ""Room-darkening shades"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Hair dryer"", ""Stove"", ""Washer"", ""Paid parking garage off premises"", ""Microwave"", ""Dishwasher"", ""Coffee maker"", ""Shower gel"", ""Dining table"", ""Cleaning products"", ""Cooking basics"", ""Kitchen"", ""Wifi"", ""Shampoo""]",$102.00,1,1125,1,4,1,1125,3.1,1029.8,,t,15,32,62,152,2024-11-09,31,17,3,2022-09-11,2024-11-03,4.58,4.68,4.68,4.77,4.71,4.65,4.39,"310485, expires: 2025-09-06",t,13,13,0,0,1.18
35,776644619924916716,https://www.airbnb.com/rooms/776644619924916716,20241109184856,2024-11-09,city scrape,Initial | La cabine | Québec,Check out our low-cost accommodations Enjoy the perfect location in the city center while respecting your budget. + FREE PARKING (garage 3 min walk) <br /><br />The cabin is the woody and warm atmosphere of your holiday cabin. <br /><br />CITQ 295045,"Description of the Saint-Roch neighborhood<br />is animated by a host of local shops, a shopping street where cafes, bakeries, grocery stores, restaurants, bar and local shops. The area is a few minutes' walk from the Historic District of Old Quebec, the Old Port of Quebec and the train station.",https://a0.muscache.com/pictures/miso/Hosting-776644619924916716/original/9c8610b5-7110-4146-809d-1aa8c0ac790a.jpeg,19909639,https://www.airbnb.com/users/show/19909639,Louis,2014-08-12,"Quebec City, Canada","On a grandi dans des  familles ou recevoir était naturel. Quand il y en a pour 5, il y en a pour 6, répétait ma mère. La porte ouverte et le cœur accueillant. 
 
Chez nous, le chalet était un lieu sacré, un 600 pi2 qui pouvait recevoir autant de personne que notre cœur était prêt à en recevoir. 
 
Recevoir simplement. Accueillir chaleureusement. Partager et s’unir pour mieux grandir. 
 
Et puis, en grandissant, recevoir n’était plus simplement naturel, c’était nécessaire.
Alors du haut de nos valeurs les plus sincères, on en a fait un métier: 
 
Rendre des lieux d’évasion entre ville et montagne accessibles et accueillants pour rassembler et partager. 
 
Aujourd’hui notre grande famille compte 40 établissements dans lesquels se multiplient les souvenirs. ",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/User-19909639/original/64c85439-d1c2-4dd3-af76-3f7a7df1975d.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-19909639/original/64c85439-d1c2-4dd3-af76-3f7a7df1975d.jpeg?aki_policy=profile_x_medium,,97,145,"['email', 'phone']",t,t,Neighborhood highlights,Saint-Roch,,46.8138297,-71.2253456,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Wifi \u2013 20 Mbps"", ""Exterior security cameras on property"", ""Elevator"", ""Freezer"", ""Smart lock"", ""Fire extinguisher"", ""Hot water kettle"", ""Paid dryer \u2013 In building"", ""Oven"", ""Essentials"", ""Smoke alarm"", ""Self check-in"", ""32 inch TV with Disney+, standard cable"", ""Coffee maker: Keurig coffee machine"", ""Body soap"", ""Heating"", ""Wine glasses"", ""Toaster"", ""Free parking garage on premises \u2013 1 space"", ""Coffee"", ""Dishes and silverware"", ""First aid kit"", ""Hot water"", ""Baking sheet"", ""Iron"", ""Refrigerator"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Dedicated workspace"", ""Hair dryer"", ""Stove"", ""Washer"", ""Microwave"", ""Shower gel"", ""Dining table"", ""Cleaning products"", ""Cooking basics"", ""Kitchen"", ""Shampoo""]",$91.00,1,1125,1,2,1,1125,1.1,1119.8,,t,15,32,62,337,2024-11-09,105,51,8,2022-12-18,2024-11-08,4.69,4.7,4.74,4.84,4.92,4.5,4.52,"295045, expires: 2024-12-21",t,50,50,0,0,4.55
